Applicant_ID,Sim_Tenure_Months,Airtime_Consistency_Score,Avg_Wallet_Inflow,Electricity_Payment_Gap_Days,Data_Voice_Ratio,Default_Status,Volatility_Index
1001,103,0.8036018433358537,3630.096126426764,42,3.05641428754887,0,1.9639815666414628
1002,52,0.5357557289470667,4476.386777201051,11,4.196478342323237,1,4.642442710529333
1003,93,0.8146130052393664,5957.084834141314,8,0.6743141990989814,0,1.8538699476063358
1004,15,0.6188400128258793,5165.10853131333,20,2.731293964794289,1,3.811599871741207
1005,107,0.4078624911917998,5699.866428736206,10,2.2825529599771315,0,5.9213750880820015
1006,72,0.8289808693151252,5301.192178192011,24,1.4545612834668664,0,1.7101913068487484
1007,61,0.3144607034977824,4823.117104095186,35,2.202125016943929,1,6.855392965022176
1008,21,0.3019446818198159,4251.160975730425,23,4.925738798912538,1,6.980553181801841
1009,103,0.5540526316493523,2707.3371596096918,26,3.754594968627999,0,4.459473683506477
1010,83,0.33476432136588,5538.352328202386,25,1.847916860067236,0,6.6523567863412
1011,87,0.1081783314560946,4167.371972988885,22,3.224097731663733,0,8.918216685439054
1012,75,0.6834677745689214,2028.1696592147337,36,1.6099530812855591,1,3.1653222543107864
1013,75,0.5599844393251582,3681.511510182852,38,3.2487975906092323,1,4.400155606748418
1014,88,0.5009660330438451,5778.434534179218,31,4.532750102682193,0,4.990339669561549
1015,117,0.9702716631564838,1625.7534281010817,42,3.005945599741485,0,0.2972833684351617
1016,100,0.6140792655666223,2955.713227206309,34,3.800029889537072,0,3.859207344333777
1017,104,0.8770884200104461,4705.700101978825,37,2.540025494223336,0,1.2291157998955393
1018,24,0.2255052125846441,6608.577965091398,31,2.8585576294879846,1,7.744947874153559
1019,3,0.6122858168164849,5999.96410340073,27,3.6278378543969536,1,3.8771418318351514
1020,22,0.8811816640578126,6752.45192794496,23,4.155822522731288,0,1.1881833594218738
1021,53,0.6247951815519082,4811.672773089325,35,3.4675312393645235,0,3.7520481844809184
1022,2,0.7462127603143014,4186.22934829945,8,4.898713972505418,0,2.537872396856986
1023,88,0.4348392110309866,5764.960011649433,23,4.189201645092273,0,5.651607889690133
1024,108,0.1832045653333599,3150.949080244116,42,3.997220920735438,1,8.1679543466664
1025,30,0.5121102656143643,3033.9251246480453,44,4.302957105414615,1,4.878897343856357
1026,38,0.4550314517549718,2767.365337247972,26,1.7654492094095708,1,5.449685482450281
1027,2,0.8803541641410526,6133.326931447591,13,2.444212192767713,0,1.196458358589474
1028,64,0.319595772117225,3248.1291337842604,35,3.040083132775658,1,6.80404227882775
1029,60,0.9700608047815972,6000.905112774402,14,2.580738432992085,1,0.29939195218402825
1030,21,0.9623243078240464,4722.675425476581,14,4.313560182008359,1,0.3767569217595357
1031,33,0.3228684787642948,6152.609474316892,34,0.6218083295565441,1,6.771315212357052
1032,76,0.4132467599295885,2841.9267279524074,14,1.4412893775476938,0,5.867532400704115
